method,n_perts,pearson_delta,mae_delta,discrimination_score_l1,overlap_at_50,de_direction_match,de_spearman_lfc_sig
Perturb Mean,1051,0.650146574384314,0.06536779407904499,0.9086466515963683,0.3480304471931494,0.8371663555112716,0.8169935550270977
Linear,1087,0.5148862275052231,0.03592820607276548,0.5950180704157535,0.17137074517019318,0.7448846410227918,0.4915681030059469
Linear-OneHot,1087,0.4423438496538545,0.03776483478156541,0.5211887905772382,0.1386200551977921,0.7105540211140943,0.42888028631057895
CPA,1092,0.0265454920631366,0.047076208626121344,0.5191142038669512,0.13146520146520146,0.4709016072328789,-0.052469834567241254
GEARS,1087,-0.002125200589843737,0.04450817445075441,0.5024480161547907,0.0,0.4971588487062062,-0.0036442547688390185
scVI,1092,0.129063969849005,0.15926509657226529,0.5025166378188356,0.09584249084249084,0.5536455619159468,0.22139922076513854
scGPT,1087,0.07756222088324513,0.05502105454238265,0.5022889056838831,0.011722563036828003,0.5188605883525876,0.02793351217759248
Morph,1052,-0.11264534949983679,0.06289621631299698,0.5106017507843109,0.03695817490494297,0.4468353167138046,-0.07036951755370323
STATE,1092,0.30880264698906423,0.04011313626269767,0.6984219230098351,0.05785714285714286,0.6775706512307196, 0.00000
TxPert,1087,0.4044744340641203,0.03583378195180018,0.6223699166108793,0.17021159153633855,0.6821484484314548,0.3763052087206099
AdaPert,1087,0.46005898739169276,0.03516260784019976,0.6916312123963982,0.1668261269549218,0.7027318065961013,0.4157097179452137
